id,timestamp,language,source,message,summary,sentiment,themes
1,2025-02-15T10:23:00Z,en,email,I can’t log into my account—keeps saying invalid credentials.,Summary for: I can’t log into my account—keeps saying invalid c...,Positive,"Theme1, Theme2"
2,2025-02-16T14:45:00Z,fr,chat,Le site est très lent lorsque je charge la page d’accueil.,Summary for: Le site est très lent lorsque je charge la page d’...,Positive,"Theme1, Theme2"
3,2025-02-17T09:12:00Z,en,survey,I love the new dashboard but wish there were more filter options.,Summary for: I love the new dashboard but wish there were more ...,Positive,"Theme1, Theme2"
4,2025-02-18T16:30:00Z,es,email,No recibo notificaciones por correo después de actualizar mi plan.,Summary for: No recibo notificaciones por correo después de act...,Positive,"Theme1, Theme2"
5,2025-02-19T11:05:00Z,en,chat,The pricing page is confusing—hard to tell what’s included.,Summary for: The pricing page is confusing—hard to tell what’s ...,Positive,"Theme1, Theme2"
6,2025-02-20T13:15:00Z,fr,email,J’ai besoin d’aide pour réinitialiser mon mot de passe.,Summary for: J’ai besoin d’aide pour réinitialiser mon mot de p...,Positive,"Theme1, Theme2"
7,2025-02-21T08:45:00Z,es,survey,La aplicación se bloquea a menudo en mi teléfono.,Summary for: La aplicación se bloquea a menudo en mi teléfono....,Positive,"Theme1, Theme2"
8,2025-02-22T15:00:00Z,en,chat,Can you add a dark mode option? It’s hard on the eyes at night.,Summary for: Can you add a dark mode option? It’s hard on the e...,Positive,"Theme1, Theme2"
9,2025-02-23T12:30:00Z,fr,email,"Le support technique est très réactif, merci !","Summary for: Le support technique est très réactif, merci !...",Positive,"Theme1, Theme2"
10,2025-02-24T17:00:00Z,es,chat,Me gustaría ver más tutoriales en video sobre el uso de la plataforma.,Summary for: Me gustaría ver más tutoriales en video sobre el u...,Positive,"Theme1, Theme2"
11,2025-02-25T10:00:00Z,en,email,I need to change my billing information but can’t find where to do it.,Summary for: I need to change my billing information but can’t ...,Positive,"Theme1, Theme2"
12,2025-02-26T14:20:00Z,fr,survey,L’interface utilisateur est très intuitive et facile à naviguer.,Summary for: L’interface utilisateur est très intuitive et faci...,Positive,"Theme1, Theme2"
13,2025-02-27T09:50:00Z,es,email,No puedo encontrar la opción para cancelar mi suscripción.,Summary for: No puedo encontrar la opción para cancelar mi susc...,Positive,"Theme1, Theme2"
14,2025-02-28T16:10:00Z,en,chat,The app crashes when I try to upload a file larger than 10MB.,Summary for: The app crashes when I try to upload a file larger...,Positive,"Theme1, Theme2"
15,2025-03-01T11:40:00Z,fr,email,J’aimerais avoir plus d’options de personnalisation dans l’application.,Summary for: J’aimerais avoir plus d’options de personnalisatio...,Positive,"Theme1, Theme2"
16,2025-03-02T13:55:00Z,es,chat,El proceso de registro es demasiado largo y complicado.,Summary for: El proceso de registro es demasiado largo y compli...,Positive,"Theme1, Theme2"
17,2025-03-03T08:25:00Z,en,email,I received a charge I didn’t authorize—please investigate.,Summary for: I received a charge I didn’t authorize—please inve...,Positive,"Theme1, Theme2"
18,2025-03-04T15:35:00Z,fr,survey,Le service client est très utile et répond rapidement.,Summary for: Le service client est très utile et répond rapidem...,Positive,"Theme1, Theme2"
19,2025-03-05T10:15:00Z,es,email,No entiendo cómo funciona el sistema de puntos de recompensa.,Summary for: No entiendo cómo funciona el sistema de puntos de ...,Positive,"Theme1, Theme2"
20,2025-03-06T14:50:00Z,en,chat,Can you provide more details on the new features in the latest update?,Summary for: Can you provide more details on the new features i...,Positive,"Theme1, Theme2"
21,2025-03-07T09:05:00Z,fr,email,J’ai des problèmes de connexion avec l’application mobile.,Summary for: J’ai des problèmes de connexion avec l’application...,Positive,"Theme1, Theme2"
22,2025-03-08T16:45:00Z,es,survey,La calidad del audio en las llamadas es muy baja.,Summary for: La calidad del audio en las llamadas es muy baja....,Positive,"Theme1, Theme2"
23,2025-03-09T11:30:00Z,en,email,I want to know how to export my data from the platform.,Summary for: I want to know how to export my data from the plat...,Positive,"Theme1, Theme2"
24,2025-03-10T13:40:00Z,fr,chat,"Le site web est souvent en panne, c’est très frustrant.","Summary for: Le site web est souvent en panne, c’est très frust...",Positive,"Theme1, Theme2"
25,2025-03-11T08:55:00Z,es,email,No puedo acceder a mi cuenta desde la aplicación móvil.,Summary for: No puedo acceder a mi cuenta desde la aplicación m...,Positive,"Theme1, Theme2"
26,2025-03-12T15:20:00Z,en,survey,"The new feature is great, but it’s a bit slow to load.","Summary for: The new feature is great, but it’s a bit slow to l...",Positive,"Theme1, Theme2"
27,2025-03-13T10:10:00Z,fr,email,J’aimerais avoir plus de choix de langues dans l’application.,Summary for: J’aimerais avoir plus de choix de langues dans l’a...,Positive,"Theme1, Theme2"
28,2025-03-14T14:30:00Z,es,chat,El soporte técnico no responde a mis correos electrónicos.,Summary for: El soporte técnico no responde a mis correos elect...,Positive,"Theme1, Theme2"
29,2025-03-15T09:55:00Z,en,email,I need help with my account settings but can’t find the right section.,Summary for: I need help with my account settings but can’t fin...,Positive,"Theme1, Theme2"
30,2025-03-16T16:05:00Z,fr,survey,L’application est très utile pour mon travail quotidien.,Summary for: L’application est très utile pour mon travail quot...,Positive,"Theme1, Theme2"
31,2025-03-17T11:25:00Z,es,email,No puedo actualizar mi información de pago en la cuenta.,Summary for: No puedo actualizar mi información de pago en la c...,Positive,"Theme1, Theme2"
32,2025-03-18T13:45:00Z,en,chat,The notifications are too frequent—can I adjust the settings?,Summary for: The notifications are too frequent—can I adjust th...,Positive,"Theme1, Theme2"
33,2025-03-19T08:35:00Z,fr,email,J’ai besoin d’aide pour configurer mon compte.,Summary for: J’ai besoin d’aide pour configurer mon compte....,Positive,"Theme1, Theme2"
34,2025-03-20T15:50:00Z,es,survey,La aplicación se cierra inesperadamente al abrirla.,Summary for: La aplicación se cierra inesperadamente al abrirla...,Positive,"Theme1, Theme2"
35,2025-03-21T10:40:00Z,en,email,I want to know if there’s a way to recover deleted files.,Summary for: I want to know if there’s a way to recover deleted...,Positive,"Theme1, Theme2"
36,2025-03-22T14:10:00Z,fr,chat,Le processus de paiement est très compliqué et long.,Summary for: Le processus de paiement est très compliqué et lon...,Positive,"Theme1, Theme2"
37,2025-03-23T09:20:00Z,es,email,No entiendo cómo funciona el sistema de referidos.,Summary for: No entiendo cómo funciona el sistema de referidos....,Positive,"Theme1, Theme2"
38,2025-03-24T16:25:00Z,en,survey,The customer support is very helpful and responsive.,Summary for: The customer support is very helpful and responsiv...,Positive,"Theme1, Theme2"
39,2025-03-25T11:15:00Z,fr,email,J’aimerais avoir plus d’options de tri dans les rapports.,Summary for: J’aimerais avoir plus d’options de tri dans les ra...,Positive,"Theme1, Theme2"
40,2025-03-26T13:35:00Z,es,chat,El sitio web es muy lento y a veces no carga.,Summary for: El sitio web es muy lento y a veces no carga....,Positive,"Theme1, Theme2"
